Duration (in seconds),QID9,QID10,QID12,QID13,QID15,QID16,QID18,QID19,QID21,QID22,QID24,QID25,QID27,QID28,QID30,QID31,QID33,QID34,QID36,QID37,QID39,QID40,QID42,QID43,QID45,QID46,QID48,QID49,QID51,QID52,QID54,QID55,QID57,QID58,QID60,QID61,QID63,QID64,QID66,QID67,QID69,QID70,QID72,QID73,QID75,QID76,QID78,QID79,QID81,QID82,QID84,QID85,QID87,QID88,QID90,QID91,QID93,QID94,QID96,QID97,QID99,QID100,QID102,QID103,QID105,QID106,QID108,QID109,QID111,QID112,QID114,QID115,QID117,QID118,QID120,QID121,QID123,QID124,QID126,QID127,QID129,QID130,QID132,QID133,QID135,QID136,QID138,QID139,QID141,QID142,QID144,QID145,QID147,QID148,QID150,QID151,QID153,QID154,QID156,QID157,QID159,QID160,QID162,QID163,QID165,QID166,QID168,QID169,QID171,QID172,QID174,QID175,QID177,QID178,QID180,QID181,QID183,QID184,QID186,QID187,QID189,QID190,QID192,QID193,QID195,QID196,QID198,QID199,QID201,QID202,QID204,QID205,QID207,QID208,QID210,QID211,QID213,QID214,QID216,QID217,QID219,QID220,QID222,QID223,QID225,QID226,QID228,QID229,QID231,QID232,QID234,QID235,QID237,QID238,QID240,QID241,QID243,QID244,QID246,QID247,QID249,QID250,QID252,QID253,QID255,QID256,QID258,QID259,QID261,QID262,QID264,QID265,QID267,QID268,QID270,QID271,QID273,QID274,QID276,QID277,QID279,QID280,QID282,QID283,QID285,QID286,QID288,QID289,QID291,QID292,QID294,QID295,QID297,QID298,QID300,QID301,QID303,QID304,QID306,QID307,QID309,QID310,QID312,QID313,QID315,QID316,QID318,QID319,QID321,QID322,QID324,QID325,QID327,QID328,QID330,QID331,QID333,QID334,QID336,QID337,QID339,QID340,QID342,QID343,QID345,QID346,QID348,QID349,QID351,QID352,QID354,QID355,QID357,QID358,QID360,QID361,QID363,QID364,QID366,QID367,QID369,QID370,QID372,QID373,QID375,QID376,QID378,QID379,QID381,QID382,QID384,QID385,QID387,QID388,QID390,QID391,QID393,QID394,QID396,QID397,QID399,QID400,QID402,QID403,QID405,QID406,QID408,QID409,QID411,QID412,QID414,QID415,QID417,QID418,QID420,QID421,QID423,QID424,QID426,QID427,QID429,QID430,QID432,QID433,QID435,QID436,QID438,QID439,QID441,QID442,QID444,QID445,QID447,QID448,QID450,QID451,QID453,QID454,QID456,QID457,QID459,QID460,QID462,QID463,QID465,QID466,QID468,QID469,QID471,QID472,QID474,QID475,QID477,QID478,QID480,QID481,QID483,QID484,QID486,QID487,QID489,QID490,QID492,QID493,QID495,QID496,QID498,QID499,QID501,QID502,QID504,QID505,QID507,QID508,QID510,QID511,QID513,QID514,QID516,QID517,QID519,QID520,QID522,QID523,QID525,QID526,QID528,QID529,QID531,QID532,QID534,QID535,QID537,QID538,QID540,QID541,QID543,QID544,QID546,QID547,QID549,QID550,QID552,QID553,QID555,QID556,QID558,QID559,QID561,QID562,QID564,QID565,QID567,QID568,QID570,QID571,QID573,QID574,QID576,QID577,QID579,QID580,QID582,QID583,QID585,QID586,QID588,QID589,QID591,QID592,QID594,QID595,QID597,QID598,QID600,QID601,QID603,QID604,QID606,QID607,QID609,QID610,QID612,QID613,QID615,QID616,QID618,QID619,QID621,QID622,QID624,QID625,QID627,QID628,QID630,QID631,QID633,QID634,QID636,QID637,QID639,QID640,QID642,QID643,QID645,QID646,QID648,QID649,QID651,QID652,QID654,QID655,QID657,QID658,QID660,QID661,QID663,QID664,QID666,QID667,QID669,QID670,QID672,QID673,QID675,QID676,QID678,QID679,QID681,QID682,QID684,QID685,QID687,QID688,QID690,QID691,QID693,QID694,QID696,QID697,QID699,QID700,QID702,QID703,QID705,QID706,QID708,QID709,QID711,QID712,QID714,QID715,QID717,QID718,QID720,QID721,QID723,QID724,QID726,QID727,QID729,QID730,QID732,QID733,QID735,QID736,QID738,QID739,QID741,QID742,QID744,QID745,QID747,QID748,QID750,QID751,QID753,QID754,QID756,QID757,QID759,QID760,QID762,QID763,QID765,QID766,QID768,QID769,QID771,QID772,QID774,QID775,QID777,QID778,QID780,QID781,QID783,QID784,QID786,QID787,QID789,QID790,QID792,QID793,QID795,QID796,QID798,QID799,QID801,QID802,QID804,QID805,QID807,QID808,QID810,QID811,QID813,QID814,QID816,QID817,QID819,QID820,QID822,QID823,QID825,QID826,QID828,QID829,QID831,QID832,QID834,QID835,QID837,QID838,QID840,QID841,QID843,QID844,QID846,QID847,QID849,QID850,QID852,QID853,QID855,QID856,QID858,QID859,QID861,QID862,QID864,QID865,QID867,QID868,QID870,QID871,QID873,QID874,QID876,QID877,QID879,QID880,QID882,QID883,QID885,QID886,QID888,QID889,QID891,QID892,QID894,QID895,QID897,QID898,QID900,QID901,QID903,QID904,QID906,QID907,QID909,QID910,QID912,QID913,QID915,QID916,QID918,QID919,QID921,QID922,QID924,QID925,QID927,QID928,QID930,QID931,QID933,QID934,QID936,QID937,QID939,QID940,QID942,QID943,QID945,QID946,QID948,QID949,QID951,QID952,QID954,QID955,QID957,QID958,QID960,QID961,QID963,QID964,QID966,QID967,QID969,QID970,QID972,QID973,QID975,QID976,QID978,QID979,QID981,QID982,QID984,QID985,QID987,QID988,QID990,QID991,QID993,QID994,QID996,QID997,QID999,QID1000,QID1002,QID1003,QID1005,QID1006,QID1008,QID1009,QID1011,QID1012,QID1014,QID1015,QID1017,QID1018,QID1020,QID1021,QID1023,QID1024,QID1026,QID1027,QID1029,QID1030,QID1032,QID1033,QID1035,QID1036,QID1038,QID1039,QID1041,QID1042,QID1044,QID1045,QID1047,QID1048,QID1050,QID1051,QID1053,QID1054,QID1056,QID1057,QID1059,QID1060,QID1062,QID1063,QID1065,QID1066,QID1068,QID1069,QID1071,QID1072,QID1074,QID1075,QID1077,QID1078,QID1080,QID1081,QID1083,QID1084,QID1086,QID1087,random
649,"beer,country",3,,,,,,,,,"artist,lady",4,,,"wedding,lady",3,,,"lady,girl",3,,,,,,,,,,,,,,,,,,,,,,,,,"night,lady",2,"city,chocolate",3,,,,,,,,,,,,,,,,,,,"girl,weight",2,,,,,,,,,,,,,"apple,history",2,,,,,,,,,,,,,,,,,,,"baby,god",2,,,,,,,,,,,,,"performance,girl",2,,,,,"food,girl",2,,,,,,,,,,,,,,,,,,,,,,,,,"god,car",2,,,,,"wings,money",2,,,,,,,,,,,"beer,wedding",3,,,,,"food,child",2,,,,,,,,,"girl,area",2,,,,,,,,,,,,,,,,,"lady,birthday",2,"apple,chocolate",2,,,,,,,,,,,,,,,"apple,performance",2,,,"country,performance",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244775
356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"birthday,hands",3,"apple,wings",3,,,,,,,,,,,,,,,,,,,,,"holiday,girl",3,,,,,,,,,"legs,history",4,,,,,,,,,,,"legs,lady",4,"girl,baby",2,"night,holiday",1,,,,,,,,,"beer,road",4,,,,,,,,,,,,,,,"lady,food",4,,,,,,,,,,,,,,,"apple,relationship",4,"girl,beer",1,"relationship,lady",4,"death,baby",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"chocolate,performance",5,,,,,,,,,,,,,,,,,,,"wedding,money",4,,,,,,,,,,,,,,,,,,,,,"legs,area",4,,,,,,,,,,,,,"death,holiday",4,,,,,,,,,,,,,,,,,,,,,,,,,,,"performance,apple",4,,,"text,girl",1,,,"death,beauty",4,,,,,,,,,454242
586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"beer,country",4,,,,,,,,,,,,,,,,,,,,,,,"security,girl",4,,,"lady,ocean",5,"weight,hair",3,,,,,,,"lady,area",4,,,,,,,,,,,,,,,,,,,,,,,,,"security,girl",4,,,,,,,,,,,,,,,"history,lady",3,,,"girl,phone",4,,,,,,,,,,,,,,,,,"death,night",2,,,"beauty,business",4,"artist,death",3,,,"performance,night",4,"performance,girl",3,,,"feelings,performance",4,,,,,,,,,,,,,,,,,,,,,,,,,"wedding,chocolate",2,,,,,,,,,"text,lady",3,,,,,"apple,lady",3,,,"wedding,artist",3,,,,,,,,,,,"lady,street",4,,,,,,,,,,,,,,,,,,,,,,,,,history,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491647
781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wedding,street",3.5,,,,,,,,,,,,,,,,,,,,,,,,,"lady,dog",5,,,,,,,,,,,,,,,,,,,"death,heart",3,"beer,business",5,,,,,,,,,"food,feelings",2,,,"death,wings",3,,,,,,,,,,,,,,,,,"apple,relationship",4,,,,,,,,,,,,,,,,,,,,,"wedding,food",3,,,"food,girl",3,,,,,,,,,,,,,,,,,,,,,"performance,feelings",3,,,"god,car",3,"lady,girl",5,,,,,,,,,"wedding,money",4,,,,,"beer,artist",2.5,,,"baby,artist",1,,,,,,,,,,,"girl,area",4,,,,,,,,,,,,,"death,lady",3,"birthday,hands",1,,,,,,,"beauty,gift",1,"animal,lady",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527467
547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"relationship,lady",4,"beer,lady",3,,,,,"lady,dog",4,,,,,,,,,,,,,,,,,,,,,"road,business",4,,,,,,,,,,,,,,,,,"history,lady",4,,,,,,,,,,,,,"chocolate,relationship",4,"girl,area",4,,,,,,,,,,,,,,,,,"birthday,girl",3,,,,,,,,,"apple,performance",3,,,"child,birthday",3,"lady,relationship",4,"animal,boy",4,,,,,,,,,,,,,"gift,car",4,,,,,"birthday,money",3,,,,,,,"animal,lady",4,,,,,,,,,,,,,,,,,,,,,,,,,"food,lady",3,,,,,,,"lady,holiday",4,,,,,,,,,,,"animal,lady",4,,,,,,,,,,,,,"country,performance",4,"chocolate,apple",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513627
488,,,"birthday,lady",3,,,,,,,,,,,,,,,,,,,,,"security,food",4,"girl,phone",3,"weight,ocean",2,,,,,"beer,girl",1,,,,,,,,,,,,,,,,,,,,,"training,lady",3,,,"death,heart",3,,,,,,,,,,,,,"food,performance",2,,,,,,,,,,,"morning,dog",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"birthday,lady",4,,,,,,,,,,,"performance,feelings",3.5,"wedding,chocolate",2,,,,,"sky,birthday",4,,,,,,,"wedding,country",4,,,,,,,"feelings,money",2,,,,,,,"beer,birthday",4,,,,,,,,,,,"gift,food",3,,,,,,,,,,,,,,,,,"beauty,gift",2,"animal,history",2,,,,,,,,,,,,,,,,,,,,,,,"birthday,beauty",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951896
959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"god,lady",3,,,,,,,,,,,,,,,,,,,"money,relationship",3,,,,,,,,,,,,,,,,,,,,,"history,wedding",4,,,,,,,,,"security,girl",2,,,,,,,,,,,,,,,,,,,,,,,"lady,relationship",5,"apple,food",4,,,,,,,"relationship,lady",4,"death,baby",5,"death,night",5,"lady,sky",5,,,,,,,,,,,,,"sky,performance",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"text,god",2,,,,,"apple,lady",2,"artist,country",5,,,,,,,,,,,,,,,,,,,,,,,,,"wings,text",5,,,,,,,,,,,,,,,,,,,,,"birthday,boy",5,,,"evening,phone",4,"wedding,performance",4,,,"country,performance",5,"performance,apple",4,,,,,,,,,,,,,,,,,187380
635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"artist,country",4,,,,,,,,,,,"relationship,lady",3,,,,,"lady,girl",3,"lady,history",2,,,,,,,,,,,,,,,"legs,history",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"morning,dog",2,,,,,,,,,,,,,,,,,"boy,lady",4,,,"artist,death",3,,,,,,,"girl,food",3,,,,,"beer,performance",3,,,,,,,,,,,,,"performance,street",3,,,,,,,,,,,,,,,,,,,,,"money,country",1,,,,,,,"girl,feelings",3,,,"child,morning",1,"feelings,beauty",2,,,,,,,,,,,,,,,"text,girl",4,"lady,family",3,,,,,,,,,"apple,hands",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"god,heart",2,"birthday,death",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916778
691,,,,,"girl,wings",4,,,,,,,"relationship,lady",3,,,"food,lady",2,,,,,,,,,,,,,"lady,hair",4,,,,,,,,,,,,,,,,,,,,,,,"history,wedding",5,,,"heart,morning",2,,,,,,,,,,,,,"food,feelings",3,,,"training,wings",3,,,,,,,,,,,,,,,"security,lady",2,,,,,,,,,"god,death",4,,,,,,,"hair,birthday",2,,,,,"wedding,girl",4,"feelings,performance",4,,,,,,,,,,,,,,,,,,,"chocolate,country",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"baby,feelings",3,,,,,"lady,weight",3,,,,,,,,,,,"feelings,history",3,,,,,,,"birthday,history",4,,,,,,,,,,,"performance,chocolate",3,,,,,,,,,,,"birthday,food",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,867561
255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wedding,lady",3,"food,lady",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"training,wings",1,"relationship,lady",3,,,,,"girl,road",3,,,"relationship,child",2,,,,,,,,,,,,,,,,,,,,,"hair,birthday",3,,,,,,,,,"food,relationship",3,,,,,,,,,,,,,,,,,"performance,country",4,,,"feelings,lady",3,"wedding,chocolate",2,,,,,,,,,"god,lady",3,"girl,apple",3,,,,,,,,,,,,,,,,,,,,,"street,beer",2,"legs,girl",3,,,,,,,,,,,"gift,ocean",3,,,,,"lady,artist",3,,,,,,,,,"performance,beer",3,,,,,,,,,,,,,,,,,,,,,,,,,,,"artist,eyes",3,"phone,lady",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981133
632,,,,,,,,,"history,lady",3,,,,,,,,,,,,,,,,,,,,,,,,,,,"girl,history",4,,,"lady,dog",4,"lady,hair",2,,,,,"beauty,lady",4,,,,,,,,,,,,,"beer,business",2,,,,,,,,,,,,,,,,,,,,,"girl,phone",2,,,,,,,,,,,,,"relationship,lady",2,,,,,,,"beauty,apple",2,,,,,,,,,,,,,,,,,"phone,performance",1,"relationship,heart",4,,,,,,,"relationship,lady",4,"performance,boy",2,,,,,,,,,,,,,,,,,,,,,,,"animal,lady",3,"artist,apple",2,,,,,"feelings,artist",2,,,,,,,,,"street,beer",2,,,,,,,,,,,,,"gift,ocean",4,,,,,,,,,,,,,,,"performance,beer",3,,,,,,,,,,,,,,,,,,,,,,,,,,,"artist,eyes",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857391
257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"god,night",2,,,,,,,,,,,,,,,,,,,,,,,,,"money,relationship",1,"girl,lady",2,,,,,,,,,,,,,,,,,,,,,"lady,baby",3,,,"heart,wedding",2,,,,,,,,,,,"food,feelings",1,"artist,performance",1,,,,,,,,,,,,,"lady,relationship",2,,,,,,,,,,,,,,,"boy,lady",2,,,,,,,,,,,,,,,,,,,,,,,"chocolate,birthday",1,"lady,relationship",1,,,,,"performance,boy",2,,,,,"feelings,lady",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"gift,food",1,,,"lady,family",1,"gift,ocean",1,,,,,,,,,,,,,,,"performance,beer",3,"birthday,boy",2,,,,,,,,,,,,,,,,,,,,,"god,heart",1,,,"artist,eyes",1,,,863748
